"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"31061","RB","T.J.","Yeldon","0","0","7000","CAR@JAC","JAC","CAR","","","",""
"21970","RB","Doug","Martin","6.8","11","6900","TEN@TB","TB","TEN","","","",""
"6681","WR","Andre","Johnson","9.9","15","6900","IND@BUF","IND","BUF","","","",""
"27553","RB","Joseph","Randle","3.3","16","6900","NYG@DAL","DAL","NYG","","","",""
"31394","WR","Jarvis","Landry","8.7","16","6900","MIA@WAS","MIA","WAS","","","",""
"11512","TE","Jimmy","Graham","11.7","16","6900","SEA@STL","SEA","STL","","","",""
"24849","QB","Jameis","Winston","0","0","6900","TEN@TB","TB","TEN","P","Ankle","",""
"26483","QB","Geno","Smith","11.7","14","6800","CLE@NYJ","NYJ","CLE","O","Jaw","",""
"7659","QB","Ryan","Fitzpatrick","15.6","12","6800","CLE@NYJ","NYJ","CLE","","","",""
"30837","WR","Jordan","Matthews","10.5","16","6800","PHI@ATL","PHI","ATL","","","",""
"27776","RB","Tevin","Coleman","0","0","6700","PHI@ATL","ATL","PHI","","","",""
"6735","WR","Steve","Smith","11.3","16","6700","BAL@DEN","BAL","DEN","","","",""
"6479","WR","Anquan","Boldin","11.1","16","6600","MIN@SF","SF","MIN","","","",""
"6687","QB","Mark","Sanchez","16.7","9","6600","PHI@ATL","PHI","ATL","","","",""
"8005","QB","Alex","Smith","15.1","15","6600","KC@HOU","KC","HOU","","","",""
"8052","RB","Rashad","Jennings","11.2","11","6600","NYG@DAL","NYG","DAL","","","",""
"7806","RB","Darren","McFadden","6.4","16","6600","NYG@DAL","DAL","NYG","","","",""
"7778","QB","Matt","Cassel","8.9","3","6600","IND@BUF","BUF","IND","","","",""
"30447","RB","Todd","Gurley","0","0","6500","SEA@STL","STL","SEA","O","Knee","",""
"14267","QB","Ryan","Mallett","7.3","3","6500","KC@HOU","HOU","KC","","","",""
"14245","RB","Shane","Vereen","8.7","16","6500","NYG@DAL","NYG","DAL","","","",""
"7872","QB","Brian","Hoyer","12.1","14","6500","KC@HOU","HOU","KC","","","",""
"11712","RB","Joique","Bell","12.1","15","6500","DET@SD","DET","SD","Q","Knee","",""
"24920","RB","Devonta","Freeman","4.5","16","6500","PHI@ATL","ATL","PHI","P","Hamstring","",""
"6607","WR","Mike","Wallace","11.2","16","6400","MIN@SF","MIN","SF","","","",""
"22027","QB","Nick","Foles","16.2","8","6400","SEA@STL","STL","SEA","","","",""
"11864","RB","Christopher","Ivory","9","16","6400","CLE@NYJ","NYJ","CLE","","","",""
"34308","QB","Blake","Bortles","13.1","14","6400","CAR@JAC","JAC","CAR","","","",""
"24949","QB","E.J.","Manuel","12.3","5","6400","IND@BUF","BUF","IND","","","",""
"45859","QB","Derek","Carr","12.7","16","6300","CIN@OAK","OAK","CIN","","","",""
"29991","RB","Bishop","Sankey","5.5","16","6300","TEN@TB","TEN","TB","","","",""
"6803","QB","Josh","McCown","12.8","11","6300","CLE@NYJ","CLE","NYJ","","","",""
"11999","WR","Victor","Cruz","8.5","6","6300","NYG@DAL","NYG","DAL","Q","Calf","",""
"11419","RB","C.J.","Spiller","6.9","9","6300","NO@ARI","NO","ARI","Q","Knee","",""
"6448","TE","Martellus","Bennett","11","16","6200","GB@CHI","CHI","GB","","","",""
"31871","RB","Charles","Sims","6.4","8","6200","TEN@TB","TB","TEN","","","",""
"7660","RB","Fred","Jackson","11.1","14","6200","IND@BUF","BUF","IND","","","",""
"21952","WR","Michael","Floyd","8.9","16","6100","NO@ARI","ARI","NO","Q","Finger","",""
"54684","RB","Isaiah","Crowell","7.4","16","6100","CLE@NYJ","CLE","NYJ","","","",""
"28643","WR","Allen","Robinson","9.3","10","6100","CAR@JAC","JAC","CAR","","","",""
"14626","WR","Doug","Baldwin","8.4","16","6100","SEA@STL","SEA","STL","","","",""
"14288","WR","Torrey","Smith","10.5","16","6100","MIN@SF","SF","MIN","P","Knee","",""
"7844","QB","Chad","Henne","10.4","3","6100","CAR@JAC","JAC","CAR","","","",""
"33076","TE","Travis","Kelce","9.4","16","6000","KC@HOU","KC","HOU","P","Leg","",""
"54606","WR","John","Brown","7.7","16","6000","NO@ARI","ARI","NO","","","",""
"6883","WR","Larry","Fitzgerald","8.6","14","6000","NO@ARI","ARI","NO","","","",""
"22038","QB","Kirk","Cousins","16.2","6","6000","MIA@WAS","WAS","MIA","","","",""
"31073","RB","Knile","Davis","7.1","16","6000","KC@HOU","KC","HOU","","","",""
"11501","WR","Eric","Decker","10.9","15","6000","CLE@NYJ","NYJ","CLE","","","",""
"9421","RB","Danny","Woodhead","3.2","3","6000","DET@SD","SD","DET","","","",""
"32415","QB","Johnny","Manziel","2.8","5","5900","CLE@NYJ","CLE","NYJ","Q","Elbow","",""
"6914","TE","Greg","Olsen","11.2","16","5900","CAR@JAC","CAR","JAC","","","",""
"27229","RB","Ameer","Abdullah","0","0","5900","DET@SD","DET","SD","","","",""
"11425","RB","Ryan","Mathews","10.4","6","5900","PHI@ATL","PHI","ATL","","","",""
"7952","WR","Malcom","Floyd","9.2","16","5900","DET@SD","SD","DET","","","",""
"21994","QB","Brock","Osweiler","1.5","4","5800","BAL@DEN","DEN","BAL","","","",""
"21957","WR","Kendall","Wright","10","14","5800","TEN@TB","TEN","TB","","","",""
"6641","TE","Jason","Witten","8.3","16","5800","NYG@DAL","DAL","NYG","","","",""
"25837","RB","Duke","Johnson","0","0","5800","CLE@NYJ","CLE","NYJ","Q","Concussion","",""
"28088","RB","Denard","Robinson","7.9","13","5800","CAR@JAC","JAC","CAR","","","",""
"31421","QB","Zach","Mettenberger","11.1","7","5800","TEN@TB","TEN","TB","","","",""
"31406","RB","Alfred","Blue","5.6","16","5800","KC@HOU","HOU","KC","","","",""
"7972","RB","Darren","Sproles","9.2","15","5800","PHI@ATL","PHI","ATL","","","",""
"21959","QB","Brandon","Weeden","4.2","5","5700","NYG@DAL","DAL","NYG","P","Head","",""
"26141","QB","Ryan","Nassib","0.5","4","5700","NYG@DAL","NYG","DAL","","","",""
"54608","RB","Jerick","McKinnon","7.3","11","5700","MIN@SF","MIN","SF","","","",""
"22047","TE","Ladarius","Green","2.3","14","5700","DET@SD","SD","DET","","","",""
"28860","RB","Montee","Ball","6.4","5","5700","BAL@DEN","DEN","BAL","","","",""
"8803","QB","Chase","Daniel","2.6","3","5600","KC@HOU","KC","HOU","","","",""
"47640","RB","Branden","Oliver","9.1","14","5600","DET@SD","SD","DET","","","",""
"39449","WR","Charles","Johnson","6.3","12","5600","MIN@SF","MIN","SF","","","",""
